"Facility ID","Facility Name",Address,City/Town,State,"ZIP Code",County/Parish,"Telephone Number","Hospital Type","Hospital Ownership","Emergency Services","Meets criteria for birthing friendly designation","Hospital overall rating","Hospital overall rating footnote","MORT Group Measure Count","Count of Facility MORT Measures","Count of MORT Measures Better","Count of MORT Measures No Different","Count of MORT Measures Worse","MORT Group Footnote","Safety Group Measure Count","Count of Facility Safety Measures","Count of Safety Measures Better","Count of Safety Measures No Different","Count of Safety Measures Worse","Safety Group Footnote","READM Group Measure Count","Count of Facility READM Measures","Count of READM Measures Better","Count of READM Measures No Different","Count of READM Measures Worse","READM Group Footnote","Pt Exp Group Measure Count","Count of Facility Pt Exp Measures","Pt Exp Group Footnote","TE Group Measure Count","Count of Facility TE Measures","TE Group Footnote"
390050,"ALLEGHENY GENERAL HOSPITAL","320 EAST NORTH AVENUE",PITTSBURGH,PA,15212,ALLEGHENY,"(412) 359-3131","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,7,0,7,0,,8,7,2,5,0,,11,11,1,9,1,,8,8,,12,9,
390056,"PENN HIGHLANDS HUNTINGDON","1225 WARM SPRINGS AVE",HUNTINGDON,PA,16652,HUNTINGDON,"(814) 643-2290","Acute Care Hospitals","Voluntary non-profit - Other",Yes,,2,,7,4,0,4,0,,8,3,0,3,0,,11,7,0,7,0,,8,8,,12,9,
390057,"GRAND VIEW HEALTH","700 LAWN AVENUE",SELLERSVILLE,PA,18960,BUCKS,"(215) 453-4000","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,5,,7,6,0,6,0,,8,7,0,7,0,,11,8,0,8,0,,8,8,,12,11,
390058,"UPMC CARLISLE","361 ALEXANDER SPRING ROAD",CARLISLE,PA,17015,CUMBERLAND,"(717) 249-1212","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,5,0,5,0,,8,5,0,5,0,,11,9,0,9,0,,8,8,,12,10,
39005F,"ERIE VA MEDICAL CENTER","135 EAST 38TH STREET",ERIE,PA,16504,ERIE,"(814) 860-2576","Acute Care - Veterans Administration","Veterans Health Administration",No,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available","Not Available","Not Available","Not Available",5,11,1,0,1,0,,8,"Not Available",5,12,3,
390062,"CONEMAUGH NASON MEDICAL CENTER","105 NASON DRIVE","ROARING SPRING",PA,16673,BLAIR,"(814) 224-2141","Acute Care Hospitals","Voluntary non-profit - Other",Yes,,3,,7,3,0,3,0,,8,2,0,2,0,,11,6,0,6,0,,8,8,,12,7,
390063,"UPMC HAMOT","201 STATE STREET",ERIE,PA,16550,ERIE,"(814) 877-6000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,7,0,7,0,,8,8,2,6,0,,11,11,2,8,1,,8,8,,12,11,
390065,"GETTYSBURG HOSPITAL","147 GETTYS STREET",GETTYSBURG,PA,17325,ADAMS,"(717) 334-2121","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,5,0,5,0,,8,6,0,6,0,,11,9,4,5,0,,8,8,,12,11,
390066,"WELLSPAN GOOD SAMARITAN HOSPITAL","252 SOUTH 4TH STREET",LEBANON,PA,17042,LEBANON,"(717) 270-7500","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,5,,7,7,0,7,0,,8,6,1,5,0,,11,10,0,10,0,,8,8,,12,11,
390067,"UPMC PINNACLE HOSPITALS","409 SOUTH SECOND STREET",HARRISBURG,PA,17104,DAUPHIN,"(717) 782-3131","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,7,1,6,0,,8,8,4,4,0,,11,11,1,9,1,,8,8,,12,12,
390068,"UPMC LITITZ","1500 HIGHLANDS DRIVE",LITITZ,PA,17543,LANCASTER,"(717) 625-2000","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,3,,7,4,0,4,0,,8,6,0,6,0,,11,7,0,5,2,,8,8,,12,9,
39006F,"LEBANON VA MEDICAL CENTER","1700 SOUTH LINCOLN AVENUE",LEBANON,PA,17042,LEBANON,"(717) 228-5901","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,5,,7,3,1,2,0,,8,2,0,2,0,,11,5,1,4,0,,8,8,,12,5,
390070,"LOWER BUCKS HOSPITAL","501 BATH ROAD",BRISTOL,PA,19007,BUCKS,"(215) 785-9200","Acute Care Hospitals",Proprietary,Yes,,3,,7,3,0,3,0,,8,2,1,1,0,,11,5,1,4,0,,8,8,,12,7,
390073,"UPMC ALTOONA","620 HOWARD AVENUE",ALTOONA,PA,16601,BLAIR,"(814) 889-2011","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2,,7,7,0,7,0,,8,7,1,6,0,,11,11,1,10,0,,8,8,,12,12,
390079,"ROBERT PACKER HOSPITAL","ONE GUTHRIE SQUARE",SAYRE,PA,18840,BRADFORD,"(570) 888-6666","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2,,7,7,0,7,0,,8,7,2,5,0,,11,11,0,10,1,,8,8,,12,11,
390086,"PENN HIGHLANDS DUBOIS","100 HOSPITAL AVENUE",DUBOIS,PA,15801,CLEARFIELD,"(814) 371-2200","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,1,,7,7,0,6,1,,8,7,1,6,0,,11,11,0,11,0,,8,8,,12,11,
390090,"WEST PENN HOSPITAL","4800 FRIENDSHIP AVENUE",PITTSBURGH,PA,15224,ALLEGHENY,"(412) 578-5000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,4,0,4,0,,8,7,1,4,2,,11,7,0,6,1,,8,8,,12,10,
390091,"UPMC NORTHWEST","100 FAIRFIELD DRIVE",SENECA,PA,16346,VENANGO,"(814) 676-7600","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,4,,7,4,0,4,0,,8,5,1,4,0,,11,9,1,8,0,,8,8,,12,11,
390093,"CLARION HOSPITAL","ONE HOSPITAL DRIVE",CLARION,PA,16214,CLARION,"(814) 226-9500","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,3,0,3,0,,8,2,0,2,0,,11,7,1,6,0,,8,8,,12,9,
390096,"PENN STATE HEALTH ST. JOSEPH","2500 BERNVILLE ROAD",READING,PA,19605,BERKS,"(610) 378-2000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,7,0,7,0,,8,6,1,5,0,,11,10,0,10,0,,8,8,,12,12,
390097,"HOLY REDEEMER HOSPITAL AND MEDICAL CENTER","1648 HUNTINGDON PIKE",MEADOWBROOK,PA,19046,MONTGOMERY,"(215) 947-3000","Acute Care Hospitals","Voluntary non-profit - Church",Yes,Y,2,,7,5,0,5,0,,8,7,1,6,0,,11,10,0,9,1,,8,8,,12,9,
39009F,"PHILADELPHIA VA MEDICAL CENTER","3900 WOODLAND AVENUE",PHILADELPHIA,PA,19104,PHILADELPHIA,"(215) 823-5857","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,5,,7,5,3,2,0,,8,4,1,3,0,,11,6,0,6,0,,8,8,,12,5,
390100,"LANCASTER GENERAL HOSPITAL","555 NORTH DUKE STREET",LANCASTER,PA,17602,LANCASTER,"(717) 544-5511","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,5,,7,7,3,4,0,,8,8,4,4,0,,11,11,2,9,0,,8,8,,12,11,
390101,"UPMC MEMORIAL","1701 INNOVATION DRIVE",YORK,PA,17408,YORK,"(717) 843-8623","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,6,0,6,0,,8,8,0,8,0,,11,8,0,8,0,,8,8,,12,10,
390102,"UPMC ST MARGARET","815 FREEPORT ROAD",PITTSBURGH,PA,15215,ALLEGHENY,"(412) 784-4000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,3,,7,5,0,5,0,,8,7,0,7,0,,11,9,0,9,0,,8,8,,12,10,
390107,"UPMC PASSAVANT","9100 BABCOCK BOULEVARD",PITTSBURGH,PA,15237,ALLEGHENY,"(412) 367-6700","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,4,,7,7,0,6,1,,8,7,3,4,0,,11,11,1,10,0,,8,8,,12,9,
390110,"CONEMAUGH MEMORIAL MEDICAL CENTER","1086 FRANKLIN STREET",JOHNSTOWN,PA,15905,CAMBRIA,"(814) 534-9000","Acute Care Hospitals",Proprietary,Yes,Y,2,,7,7,0,7,0,,8,6,1,5,0,,11,8,0,7,1,,8,8,,12,11,
390111,"HOSPITAL OF UNIV OF PENNSYLVANIA","34TH & SPRUCE STS",PHILADELPHIA,PA,19104,PHILADELPHIA,"(215) 662-3227","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,5,,7,7,2,5,0,,8,7,3,4,0,,11,10,2,6,2,,8,8,,12,12,
390112,"CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER","600 SOMERSET AVENUE",WINDBER,PA,15963,SOMERSET,"(814) 467-3000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,3,,7,2,0,2,0,,8,3,0,3,0,,11,5,0,5,0,,8,8,,12,8,
390113,"MEADVILLE MEDICAL CENTER","751 LIBERTY STREET",MEADVILLE,PA,16335,CRAWFORD,"(814) 333-5000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,5,0,5,0,,8,7,0,7,0,,11,10,0,10,0,,8,8,,12,11,
390114,"MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM","300 HALKET STREET",PITTSBURGH,PA,15213,ALLEGHENY,"(412) 641-4010","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,3,,7,2,0,2,0,,8,8,0,8,0,,11,8,1,7,0,,8,8,,12,9,
390115,"JEFFERSON HEALTH- NORTHEAST","10800 KNIGHTS ROAD",PHILADELPHIA,PA,19114,PHILADELPHIA,"(215) 612-4000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,1,,7,7,0,7,0,,8,7,1,6,0,,11,11,0,8,3,,8,8,,12,11,
390116,"SUBURBAN COMMUNITY HOSPITAL","2701 DEKALB PIKE",NORRISTOWN,PA,19401,MONTGOMERY,"(610) 278-2000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,3,,7,2,0,2,0,,8,3,0,3,0,,11,4,1,3,0,,8,8,,12,7,
390117,"UPMC BEDFORD MEMORIAL","10455 LINCOLN HIGHWAY",EVERETT,PA,15537,BEDFORD,"(814) 623-6161","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,"Not Available",16,7,2,0,2,0,,8,2,0,2,0,,11,7,1,6,0,,8,8,,12,8,
390123,"POTTSTOWN HOSPITAL","1600 EAST HIGH STREET",POTTSTOWN,PA,19464,MONTGOMERY,"(610) 327-7000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,6,0,6,0,,8,7,0,7,0,,11,9,0,9,0,,8,8,,12,10,
390125,"WAYNE MEMORIAL HOSPITAL","601 PARK STREET",HONESDALE,PA,18431,WAYNE,"(570) 253-8100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2,,7,5,0,5,0,,8,4,0,4,0,,11,7,1,6,0,,8,8,,12,9,
390127,"PHOENIXVILLE HOSPITAL","140 NUTT ROAD",PHOENIXVILLE,PA,19460,CHESTER,"(610) 983-1000","Acute Care Hospitals",Proprietary,Yes,Y,3,,7,6,0,6,0,,8,6,1,5,0,,11,9,0,8,1,,8,8,,12,11,
39012F,"VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR","UNIVERSITY DRIVE",PITTSBURGH,PA,15240,ALLEGHENY,"(412) 688-6100","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,3,,7,5,0,5,0,,8,4,0,3,1,,11,6,0,5,1,,8,8,,12,6,
390133,"LEHIGH VALLEY HOSPITAL","1200 SOUTH CEDAR CREST BOULEVARD",ALLENTOWN,PA,18103,LEHIGH,"(610) 402-8000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,7,1,6,0,,8,8,1,7,0,,11,11,0,9,2,,8,8,,12,12,
390137,"WILKES-BARRE GENERAL HOSPITAL","575 NORTH RIVER STREET",WILKES-BARRE,PA,18764,LUZERNE,"(570) 829-8111","Acute Care Hospitals",Proprietary,Yes,,1,,7,7,0,6,1,,8,7,0,6,1,,11,11,0,10,1,,8,8,,12,11,
390138,"WELLSPAN WAYNESBORO HOSPITAL","501 EAST MAIN ST",WAYNESBORO,PA,17268,FRANKLIN,"(717) 765-4000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,4,,7,5,0,5,0,,8,2,1,1,0,,11,6,0,6,0,,8,8,,12,9,
390139,"BRYN MAWR HOSPITAL","130 SOUTH BRYN MAWR AVE","BRYN MAWR",PA,19010,MONTGOMERY,"(610) 526-3000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,6,0,6,0,,8,7,1,6,0,,11,10,0,9,1,,8,8,,12,10,
39013F,"WILKES BARRE VA MEDICAL CENTER","1111 EAST END BOULEVARD",WILKES-BARRE,PA,18711,LUZERNE,"(570) 824-3521","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,5,,7,4,0,4,0,,8,3,0,3,0,,11,5,3,2,0,,8,8,,12,5,
390142,"JEFFERSON EINSTEIN PHILADELPHIA HOSPITAL","5501 OLD YORK ROAD",PHILADELPHIA,PA,19141,PHILADELPHIA,"(215) 456-6090","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,2,,7,6,0,6,0,,8,8,1,7,0,,11,10,0,9,1,,8,8,,12,12,
390145,"EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL","532 WEST PITTSBURGH STREET",GREENSBURG,PA,15601,WESTMORELAND,"(724) 832-4000","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,4,,7,7,0,7,0,,8,7,0,6,1,,11,9,0,8,1,,8,8,,12,11,
390146,"WARREN GENERAL HOSPITAL","2 CRESCENT PARK WEST",WARREN,PA,16365,WARREN,"(814) 723-4973","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2,,7,4,0,4,0,,8,4,0,4,0,,11,9,0,9,0,,8,8,,12,11,
390147,"PENN HIGHLANDS MON VALLEY","1163 COUNTRY CLUB ROAD",MONONGAHELA,PA,15063,WASHINGTON,"(724) 258-1000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,5,0,5,0,,8,6,0,6,0,,11,7,0,6,1,,8,8,,12,9,
390150,"UPMC GREENE","350 BONAR AVENUE",WAYNESBURG,PA,15370,GREENE,"(724) 627-2602","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available","Not Available","Not Available","Not Available",5,11,2,0,2,0,,8,"Not Available",5,12,7,
390151,"WELLSPAN CHAMBERSBURG HOSPITAL","112 NORTH SEVENTH STREET",CHAMBERSBURG,PA,17201,FRANKLIN,"(717) 267-3000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,6,0,6,0,,8,6,2,4,0,,11,8,1,7,0,,8,8,,12,11,
390153,"PAOLI HOSPITAL","255 WEST LANCASTER AVENUE",PAOLI,PA,19301,CHESTER,"(610) 648-1000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,5,,7,6,2,4,0,,8,7,1,6,0,,11,10,0,9,1,,8,8,,12,10,
390156,"MERCY CATHOLIC MEDICAL CENTER- MERCY FITZGERALD","1500 LANSDOWNE  AVE",DARBY,PA,19023,DELAWARE,"(215) 237-4000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,6,0,6,0,,8,6,1,4,1,,11,8,0,6,2,,8,8,,12,9,
390160,"CANONSBURG GENERAL HOSPITAL","100 MEDICAL BOULEVARD",CANONSBURG,PA,15317,WASHINGTON,"(724) 745-6100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,"Not Available",16,7,2,0,2,0,,8,2,0,2,0,,11,6,0,6,0,,8,8,,12,9,
390162,"ST LUKE'S HOSPITAL - EASTON CAMPUS","250 SOUTH 21ST STREET",EASTON,PA,18042,NORTHAMPTON,"(610) 250-4076","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,3,,7,3,0,3,0,,8,2,0,2,0,,11,6,0,6,0,,8,8,,12,8,
390163,"ACMH HOSPITAL","ONE NOLTE DRIVE",KITTANNING,PA,16201,ARMSTRONG,"(724) 543-8500","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2,,7,3,0,3,0,,8,4,1,3,0,,11,9,0,9,0,,8,8,,12,11,
390164,"UPMC PRESBYTERIAN SHADYSIDE","200 LOTHROP STREET",PITTSBURGH,PA,15213,ALLEGHENY,"(412) 647-2345","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,4,,7,7,1,6,0,,8,7,2,4,1,,11,11,2,7,2,,8,8,,12,11,
390168,"INDEPENDENCE HEALTH SYSTEM BUTLER MEMORIAL HOSPITA","ONE HOSPITAL WAY",BUTLER,PA,16001,BUTLER,"(724) 283-6666","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,2,,7,7,0,7,0,,8,7,2,5,0,,11,11,0,10,1,,8,8,,12,12,
390173,"INDIANA REGIONAL MEDICAL CENTER","835 HOSPITAL ROAD",INDIANA,PA,15701,INDIANA,"(724) 357-7000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,5,0,5,0,,8,7,0,7,0,,11,10,0,9,1,,8,8,,12,9,
390174,"THOMAS JEFFERSON UNIVERSITY HOSPITAL","111 SOUTH 11TH STREET",PHILADELPHIA,PA,19107,PHILADELPHIA,"(215) 955-6000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,7,3,4,0,,8,8,1,7,0,,11,11,1,7,3,,8,8,,12,11,
390178,"UPMC HORIZON","110 NORTH MAIN STREET",GREENVILLE,PA,16125,MERCER,"(724) 588-2100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,3,0,3,0,,8,4,0,4,0,,11,8,0,8,0,,8,8,,12,11,
390179,"CHESTER COUNTY HOSPITAL","701 EAST MARSHALL STREET","WEST CHESTER",PA,19380,CHESTER,"(610) 431-5000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,7,2,5,0,,8,8,2,6,0,,11,11,2,9,0,,8,8,,12,12,
390180,"CROZER CHESTER MEDICAL CENTER","ONE MEDICAL CENTER BOULEVARD",UPLAND,PA,19013,DELAWARE,"(610) 447-2000","Acute Care Hospitals","Voluntary non-profit - Other",Yes,,2,,7,6,0,6,0,,8,6,3,2,1,,11,9,0,9,0,,8,8,,12,11,
